200714001293,111,111 - Homicide: Handgun,5600 BLOCK MC MAHON ST,1/5/2007 10:31:00 PM,14,Z,70. Private Residence,2692395.7833305,269125.206298026
200714001256,114,114 - Homicide: Knife,6000 BLOCK BAYNTON ST,1/5/2007 7:03:00 PM,14,X,53. Highway (Outside Structure),2689162.45743136,268419.080932402
200725001159,111,111 - Homicide: Handgun,3200 BLOCK N 13TH ST,1/4/2007 12:24:00 AM,25,N,70. Private Residence,2696613.94496855,254193.916150114
200712000895,111,111 - Homicide: Handgun,6500 BLOCK REGENT ST,1/4/2007 12:18:00 AM,12,G,53. Highway (Outside Structure),2673063.62131701,226725.740825168
200724000832,111,111 - Homicide: Handgun,3000 BLOCK AMBER ST,1/3/2007 7:57:00 PM,24,L,70. Private Residence,2707120.84480722,250355.400989686
200712000812,111,111 - Homicide: Handgun,6000 BLOCK THEODORE ST,1/3/2007 7:47:00 PM,12,I,53. Highway (Outside Structure),2677346.78623766,225962.05531848
200724000703,111,111 - Homicide: Handgun,2800 BLOCK N SWANSON ST,1/3/2007 12:11:00 PM,24,P,70. Private Residence,2702763.36697817,251091.9100158
200719000063,117,117 - Homicide: felon by Police Officer,1700 BLOCK N 59TH ST,1/1/2007 5:21:00 AM,19,K,53. Highway (Outside Structure),2672129.71364366,244902.042991992
200816004939,113,113 - Homicide: Shotgun,1 BLOCK N St BERNARD ST,1/31/2008 1:12:00 PM,16,R,53. Highway (Outside Structure),2677660.05948572,238416.463415118
200816004937,113,113 - Homicide: Shotgun,1 BLOCK N St BERNARD ST,1/31/2008 11:51:00 AM,16,R,53. Highway (Outside Structure),2677660.05948572,238416.463415118
200815011560,111,111 - Homicide: Handgun,4600 BLOCK GRISCOM ST,1/31/2008 1:18:00 AM,15,D,53. Highway (Outside Structure),2714622.8511178,259918.053352035
200815011477,111,111 - Homicide: Handgun,900 BLOCK ORTHODOX ST,1/30/2008 8:39:00 PM,15,D,53. Highway (Outside Structure),2711753.54629003,261165.747187914
200804003884,123,123 - Homicide: Non-Traffic,S BROAD ST  &  SNYDER AV,1/27/2008 3:50:00 PM,04,M,53. Highway (Outside Structure),2692119.6853969,225880.514854811
200816004149,111,111 - Homicide: Handgun,3800 BLOCK MELON ST,1/26/2008 4:51:00 PM,16,F,70. Private Residence,2683518.98457616,240449.041520014
200839005195,111,111 - Homicide: Handgun,1900 BLOCK W ONTARIO,1/26/2008 6:30:00 AM,39,C,53. Highway (Outside Structure),2693896.31261137,255566.360894751
200802005685,121,121 - Homicide: Auto,5800 BLOCK CASTOR AV,1/25/2008 5:46:00 PM,02,S,53. Highway (Outside Structure),2714864.03211112,265850.733240789
200815008526,123,123 - Homicide: Non-Traffic,6300 BLOCK KEYSTONE ST,1/23/2008 10:31:00 AM,15,L,53. Highway (Outside Structure),2724215.40862943,260938.743897475
200839004340,111,111 - Homicide: Handgun,2900 BLOCK N CHALMERS AV,1/22/2008 5:49:00 PM,39,N,53. Highway (Outside Structure),2689448.95225085,253341.272029177
200806004162,123,123 - Homicide: Non-Traffic,100 BLOCK SPRING GARDEN ST,1/21/2008 11:49:00 AM,06,M,53. Highway (Outside Structure),2700157.6850459,239283.410251665
200839003931,111,111 - Homicide: Handgun,5000 BLOCK MC KEAN AV,1/20/2008 3:24:00 PM,39,S,53. Highway (Outside Structure),2690931.61713904,261439.071788351
200825006888,111,111 - Homicide: Handgun,B ST  &  E ALLEGHENY AV,1/20/2008 3:47:00 AM,25,S,53. Highway (Outside Structure),2703726.81259061,253071.625252819
200805001544,116,116 - Homicide: Other,600 BLOCK WALNUT LN,1/19/2008 6:15:00 PM,05,C,66. Apartment House/Condominium,2680801.5847763,263484.784236893
200817003051,111,111 - Homicide: Handgun,1500 BLOCK S PATTON ST,1/19/2008 3:27:00 AM,17,N,53. Highway (Outside Structure),2684393.29672585,229661.56910838
200817003046,111,111 - Homicide: Handgun,1500 BLOCK S PATTON ST,1/19/2008 2:06:00 AM,17,N,53. Highway (Outside Structure),2684393.29672585,229661.56910838
200823002795,111,111 - Homicide: Handgun,2100 BLOCK CECIL B MOORE AV,1/18/2008 8:12:00 PM,23,I,53. Highway (Outside Structure),2691615.0099859,246199.281315461
200804002233,114,114 - Homicide: Knife,1000 BLOCK CANTRELL ST,1/15/2008 8:17:00 PM,04,M,70. Private Residence,2693871.3868519,225476.792134232
200823002052,111,111 - Homicide: Handgun,2200 BLOCK W THOMPSON ST,1/14/2008 12:26:00 AM,23,J,53. Highway (Outside Structure),2690867.97717595,244249.447329628
