"AREAKEY","INTPTLAT","INTPTLON","AREALAND","AREAWATR","AREALANM","AREAWATM","STUSAB","REGION","DIVISION","STATECE","STATE","COUNTY","COUNTYSC","COUSUB","COUSUBCC","COUSUBSC","PLACE","PLACECC","PLACEDC","PLACESC","TRACT","BLKGRP","BLOCK","CONCIT","CONCITCC","CONCITSC","AIANHHCE","AIANHH","AIANHHCC","AIHHTLI","AITSCE","AITS","AITSCC","ANRC","ANRCCC","MSACMSA","MASC","CMSA","MACCI","PMSA","NECMA","NECMACCI","NECMASC","EXI","UA","UASC","UATYPE","UR","CD106","CD108","CD109","CD110","SLDU","SLDL","VTD","VTDI","ZCTA3","ZCTA5","SUBMCD","SUBMCDCC","FUNCSTAT","GCUNI","LSADC","SDELM","SDSEC","SDUNI","TAZ","UGA","PUMA5","PUMA1","MACC","UACP","P001001","P002001","P003001","P004001","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P006001","P006002","P006003","P006004","P006005","P006006","P006007","P006008","P052001","P052002","P052003","P052004","P052005","P052006","P052007","P052008","P052009","P052010","P052011","P052012","P052013","P052014","P052015","P052016","P052017"
"42091204005","40.116659","-75.290397","1043163","0","0.40","0.00","PA","1","2","23","42","091","20","","","","","","0","","204005","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","975","173","966","17.9","975","975","975","0","0","0","0","975","921","26","0","28","0","0","0","361","0","10","7","5","25","13","13","40","10","31","43","79","44","28","7","6"
"42091204007","40.099376","-75.286860","1608977","0","0.62","0.00","PA","1","2","23","42","091","20","","","","","","0","","204007","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2252","391","2261","17.3","2252","2252","2252","0","0","0","0","2252","1815","136","0","242","0","0","59","946","75","34","32","44","58","68","67","33","74","80","70","124","92","40","36","19"
"42091204008","40.088659","-75.306892","3018873","143230","1.17","0.06","PA","1","2","23","42","091","20","","","","","","0","","204008","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2859","456","2859","15.9","2859","2859","2859","0","0","0","0","2859","2568","69","0","171","0","0","51","1130","45","61","20","109","38","69","66","33","63","113","171","156","74","56","42","14"
"42091204009","40.117039","-75.274999","3968028","0","1.53","0.00","PA","1","2","23","42","091","20","","","","","","0","","204009","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","1418","221","1438","15.4","1418","1418","1418","0","0","0","0","1418","1166","88","0","137","0","0","27","631","54","63","0","27","40","40","17","51","6","69","65","56","48","17","21","57"
"42091204010","40.134208","-75.293873","2667650","0","1.03","0.00","PA","1","2","23","42","091","20","","","","","","0","","204010","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2631","422","2611","16.2","2631","2631","2631","0","0","0","0","2631","2555","0","0","51","0","0","25","938","5","18","0","23","38","43","52","70","35","79","95","165","148","58","60","49"
"42091204101","40.079618","-75.299594","1279699","0","0.49","0.00","PA","1","2","23","42","091","20","","","","","","0","","204101","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4715","589","4715","12.5","4715","4715","4715","0","0","0","0","4715","4604","98","0","0","0","0","13","2001","148","72","114","153","102","125","71","116","140","261","266","175","115","71","51","21"
"42091204102","40.073709","-75.303482","1266213","76111","0.49","0.03","PA","1","2","23","42","091","20","","","","","","0","","204102","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2874","439","2874","15.3","2874","2874","2874","0","0","0","0","2874","2264","477","9","8","0","27","89","1323","139","111","51","70","80","95","167","99","93","71","157","139","20","16","10","5"
"42091204200","40.069509","-75.315755","2201240","97120","0.85","0.04","PA","1","2","23","42","091","20","","","","","","0","","204200","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","1446","679","1446","47.0","1446","1446","1446","0","0","0","0","1446","1374","28","0","20","0","3","21","600","20","46","32","30","20","27","37","34","21","58","75","72","39","27","18","44"
"42091204300","40.004362","-75.226387","2055446","19245","0.79","0.01","PA","1","2","23","42","091","20","","","","","","0","","204300","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2380","375","2454","15.3","2380","2380","2380","0","0","0","0","2380","2182","89","0","97","0","0","12","1164","81","45","71","58","30","90","74","30","30","105","123","114","108","38","42","125"
"42091204400","40.008862","-75.234355","2428161","0","0.94","0.00","PA","1","2","23","42","091","20","","","","","","0","","204400","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","3311","495","3237","15.3","3311","3311","3311","0","0","0","0","3311","3128","13","0","94","0","29","47","1217","57","7","17","49","40","33","17","12","34","89","91","117","160","113","150","231"
