DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200935078262,123,123 - Homicide: Non-Traffic,4700 BLOCK N 13TH ST,9/13/2009 4:37:00 AM,35,H,53. Highway (Outside Structure),2697793.1126509,262793.822425497
200907035358,114,114 - Homicide: Knife,100 BLOCK GREYCOURT RD,9/12/2009 5:18:00 PM,07,E,70. Private Residence,2720216.29244483,289331.104322654
200923043648,111,111 - Homicide: Handgun,1600 BLOCK N 29TH ST,9/8/2009 4:58:00 PM,23,2,53. Highway (Outside Structure),2687994.74118484,246172.642803878
200919082439,111,111 - Homicide: Handgun,300 BLOCK N 62ND ST,9/7/2009 3:33:00 PM,19,2,66. Apartment House/Condominium,2670937.54163583,241099.476899811
200926061754,111,111 - Homicide: Handgun,2400 BLOCK GERMANTOWN AV,9/6/2009 2:15:00 AM,26,1,53. Highway (Outside Structure),2697804.37534683,249586.455807729
200924080073,111,111 - Homicide: Handgun,3300 BLOCK POTTER ST,9/5/2009 4:35:00 AM,24,1,53. Highway (Outside Structure),2707982.93553003,253495.285368083
200925093674,111,111 - Homicide: Handgun,600 BLOCK W SEDGLEY AV,9/3/2009 10:23:00 PM,25,K,53. Highway (Outside Structure),2699379.71054917,254916.057484397
200919081150,121,121 - Homicide: Auto,5400 BLOCK LANCASTER AV,9/3/2009 9:02:00 PM,19,2,53. Highway (Outside Structure),2674576.36926326,245206.247301016
200919081048,111,111 - Homicide: Handgun,5700 BLOCK HAVERFORD AV,9/3/2009 5:03:00 PM,19,2,53. Highway (Outside Structure),2673687.61804385,241244.847667065
200912083702,111,111 - Homicide: Handgun,6500 BLOCK REGENT ST,9/2/2009 10:36:00 PM,12,G,53. Highway (Outside Structure),2672961.68016842,226628.508519964
200939058086,114,114 - Homicide: Knife,1900 BLOCK W WILLARD ST,9/2/2009 5:10:00 PM,39,C,70. Private Residence,2693639.46045102,254867.281439153
200912083410,111,111 - Homicide: Handgun,2200 BLOCK S 66TH ST,9/2/2009 6:15:00 AM,12,H,53. Highway (Outside Structure),2673629.43700311,225463.913709959
