DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200818070579,111,111 - Homicide: Handgun,5500 BLOCK BALTIMORE AV,9/30/2008 12:40:00 AM,18,Q,53. Highway (Outside Structure),2673656.5808059,233633.652774352
200824085761,111,111 - Homicide: Handgun,3500 BLOCK JASPER ST,9/30/2008 12:13:00 AM,24,K,53. Highway (Outside Structure),2709378.46911306,253539.867803985
200806055802,111,111 - Homicide: Handgun,1300 BLOCK FAIRMONT,9/28/2008 7:04:00 PM,06,R,53. Highway (Outside Structure),2694839.44295038,241323.754211552
200812086570,118,118 - Homicide: felon by Civilian,1000 BLOCK S PAXON ST,9/28/2008 1:16:00 AM,12,N,53. Highway (Outside Structure),2677182.33282638,232665.241714991
200835091065,123,123 - Homicide: Non-Traffic,5200 BLOCK N BROAD ST,9/26/2008 9:08:00 AM,35,I,53. Highway (Outside Structure),2697520.30669835,265339.488609085
200826063529,111,111 - Homicide: Handgun,N REESE ST &  W DAUPHIN ST,9/25/2008 6:14:00 PM,26,O,53. Highway (Outside Structure),2699147.77375157,248585.605548634
200824084232,116,116 - Homicide: Other,2100 BLOCK E CAMBRIA ST,9/25/2008 12:52:00 AM,24,L,70. Private Residence,2706429.70690445,249477.291579669
200822068759,117,117 - Homicide: felon by Police Officer,2200 BLOCK N 17TH ST,9/24/2008 10:16:00 AM,22,D,53. Highway (Outside Structure),2693907.53302561,249087.331667794
200807037965,123,123 - Homicide: Non-Traffic,8200 BLOCK E ROOSEVELT BLVD,9/24/2008 1:43:00 AM,07,C,53. Highway (Outside Structure),2725692.02885639,276093.006948446
200812085270,123,123 - Homicide: Non-Traffic,COBBS CREEK PKWY  &  S 70TH ST,9/23/2008 11:58:00 PM,12,G,53. Highway (Outside Structure),2670847.57632979,225167.44785814
200822068608,111,111 - Homicide: Handgun,2200 BLOCK N COLORADO ST,9/23/2008 1:47:00 PM,22,D,53. Highway (Outside Structure),2693721.76769955,248900.618352089
200807037505,123,123 - Homicide: Non-Traffic,9200 BLOCK OLD BUSTLETON AV,9/20/2008 2:12:00 PM,07,D,53. Highway (Outside Structure),2726466.27414735,283391.010953845
200814079108,111,111 - Homicide: Handgun,6700 BLOCK BASS ST,9/19/2008 9:52:00 PM,14,M,53. Highway (Outside Structure),2687052.13004984,273191.393136304
200824081451,111,111 - Homicide: Handgun,800 BLOCK E THAYER ST,9/16/2008 9:51:00 PM,24,O,53. Highway (Outside Structure),2706838.07575618,253590.921343584
200823043670,111,111 - Homicide: Handgun,1500 BLOCK N BOUVIER ST,9/16/2008 8:44:00 PM,23,F,53. Highway (Outside Structure),2693119.24960869,244971.960208206
200822066448,111,111 - Homicide: Handgun,N 20TH ST  &  W SUSQUEHANNA AV,9/14/2008 11:04:00 PM,22,H,53. Highway (Outside Structure),2692530.18227161,248903.763167599
200824080571,111,111 - Homicide: Handgun,3100 BLOCK MEMPHIS ST,9/14/2008 12:39:00 AM,24,D,70. Private Residence,2708514.15366932,249547.035842502
200839066536,114,114 - Homicide: Knife,3400 BLOCK N 17TH ST,9/13/2008 8:49:00 AM,39,C,53. Highway (Outside Structure),2694803.28791443,255609.245210928
200816051703,111,111 - Homicide: Handgun,N 36TH ST &  ASPEN ST,9/11/2008 11:24:00 PM,16,N,53. Highway (Outside Structure),2684516.11572507,241243.394229852
200816051705,111,111 - Homicide: Handgun,N 36TH ST  &  ASPEN ST,9/11/2008 10:22:00 PM,16,N,53. Highway (Outside Structure),2684516.11572507,241243.394229852
200812080472,111,111 - Homicide: Handgun,1700 BLOCK S 54TH ST,9/9/2008 9:39:00 PM,12,K,53. Highway (Outside Structure),2677859.93044539,230153.4569824
200835085285,111,111 - Homicide: Handgun,800 BLOCK W LINDLEY AVE,9/8/2008 8:49:00 PM,35,Q,53. Highway (Outside Structure),2700057.53191585,264406.407965945
200804042072,123,123 - Homicide: Non-Traffic,S BROAD ST  &  OREGON AV,9/8/2008 4:18:00 PM,04,I,53. Highway (Outside Structure),2691739.42561797,223102.008886941
200825098445,111,111 - Homicide: Handgun,4400 BLOCK N FRANKLIN ST,9/6/2008 8:17:00 PM,25,L,53. Highway (Outside Structure),2699782.85348673,260687.078488107
200817044958,111,111 - Homicide: Handgun,1300 BLOCK S BOUVIER ST,9/6/2008 10:35:00 AM,17,E,53. Highway (Outside Structure),2690940.63430058,229618.891559408
200816050536,116,116 - Homicide: Other,N 39TH ST &  WALLACE ST,9/5/2008 9:34:00 PM,16,F,53. Highway (Outside Structure),2683223.77787306,240186.4819393
200815101330,111,111 - Homicide: Handgun,3200 BLOCK RAWLE ST,9/2/2008 5:34:00 PM,15,N,53. Highway (Outside Structure),2723406.81801898,266367.214045758
200824076909,111,111 - Homicide: Handgun,800 BLOCK E THAYER ST,9/2/2008 2:32:00 PM,24,O,53. Highway (Outside Structure),2706692.47006311,253610.652776394
200825096451,111,111 - Homicide: Handgun,2900 BLOCK N 5TH ST,9/2/2008 2:31:00 AM,25,H,3. Auto Parts Store,2699838.72723801,252184.709998474
200825096450,111,111 - Homicide: Handgun,2900 BLOCK N 5TH ST,9/2/2008 2:31:00 AM,25,H,3. Auto Parts Store,2699838.72723801,252184.709998474
