DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200722051124,111,111 - Homicide: Handgun,YORK & GARNET ST,8/31/2007 1:08:00 AM,22,I,53. Highway (Outside Structure),2692971.72731326,249991.851803884
200717040684,111,111 - Homicide: Handgun,1600 BLOCK S 23RD ST,8/29/2007 2:35:00 PM,17,I,53. Highway (Outside Structure),2688215.84755255,228369.188753635
200723035490,115,115 - Homicide: Beating,1200 BLOCK N 16TH ST,8/29/2007 2:16:00 PM,23,C,53. Highway (Outside Structure),2693609.27537,243620.65637048
200735077457,114,114 - Homicide: Knife,1400 BLOCK CONLYN ST,8/29/2007 10:28:00 AM,35,J,70. Private Residence,2697802.75824178,269050.244205067
200702058662,111,111 - Homicide: Handgun,500 BLOCK E HILL CREEK DR,8/29/2007 7:45:00 AM,02,R,66. Apartment House/Condominium,2707579.20936479,267621.866362188
200716038431,123,123 - Homicide: Non-Traffic,N 44TH ST  &  HAVERFORD AV,8/27/2007 11:18:00 PM,16,P,53. Highway (Outside Structure),2680244.14591276,239457.328843983
200708038976,115,115 - Homicide: Beating,9400 BLOCK LANSFORD ST,8/27/2007 9:48:00 PM,08,G,66. Apartment House/Condominium,2735872.16969928,279148.617178848
200739053220,123,123 - Homicide: Non-Traffic,4200 BLOCK HENRY AV,8/27/2007 2:12:00 AM,39,O,53. Highway (Outside Structure),2684419.05387959,260982.977648574
200725092110,111,111 - Homicide: Handgun,2900 BLOCK N 13TH ST,8/26/2007 9:16:00 PM,25,N,53. Highway (Outside Structure),2696366.0724072,252405.663146359
200726062210,111,111 - Homicide: Handgun,2000 BLOCK E HUNTINGDON ST,8/26/2007 1:10:00 PM,26,U,70. Private Residence,2703792.56343829,248961.608415691
200712075798,111,111 - Homicide: Handgun,2400 BLOCK S 62ND ST,8/26/2007 1:12:00 AM,12,I,"40. Bar, Taproom, Caf?",2675908.89407111,225870.841234376
200735076347,111,111 - Homicide: Handgun,1600 BLOCK W MENTOR ST,8/25/2007 10:27:00 PM,35,H,53. Highway (Outside Structure),2696001.77724076,263091.167159094
200722049831,111,111 - Homicide: Handgun,2500 BLOCK N NEWKIRK ST,8/25/2007 2:20:00 AM,22,N,53. Highway (Outside Structure),2689004.25403812,251265.985301624
200739052646,123,123 - Homicide: Non-Traffic,N 18TH ST &  W HUNTING PARK AV,8/24/2007 2:15:00 PM,39,E,53. Highway (Outside Structure),2694791.76755901,258847.994009162
200717039670,114,114 - Homicide: Knife,2400 BLOCK KIMBALL ST,8/23/2007 10:04:00 PM,17,M,53. Highway (Outside Structure),2687996.78145633,231711.707751575
200718053677,111,111 - Homicide: Handgun,1 BLOCK S 58TH ST,8/20/2007 4:17:00 AM,18,P,53. Highway (Outside Structure),2672903.01768036,238841.507995177
200724070251,123,123 - Homicide: Non-Traffic,EMERALD ST  &  E LEHIGH AV,8/18/2007 9:17:00 PM,24,C,53. Highway (Outside Structure),2704394.7569515,249400.566992793
200723033978,123,123 - Homicide: Non-Traffic,1000 BLOCK MASTER ST,8/18/2007 8:34:00 PM,23,A,53. Highway (Outside Structure),2696554.03928472,243944.585552414
200739051224,113,113 - Homicide: Shotgun,1600 BLOCK St PAUL ST,8/17/2007 11:04:00 PM,39,F,53. Highway (Outside Structure),2695921.61704498,260624.160823956
200722048170,111,111 - Homicide: Handgun,3000 BLOCK W LEHIGH AVE,8/17/2007 3:19:00 AM,22,N,53. Highway (Outside Structure),2688379.05303728,252330.124595533
200724069721,114,114 - Homicide: Knife,800 BLOCK E WILLARD ST,8/17/2007 12:26:00 AM,24,G,53. Highway (Outside Structure),2706670.38115289,253111.926743044
200712073086,111,111 - Homicide: Handgun,1900 BLOCK S SALFORD ST,8/16/2007 11:28:00 PM,12,J,70. Private Residence,2674978.92830637,228701.389572047
200712072955,123,123 - Homicide: Non-Traffic,6900 BLOCK LINDBERGH BLVD,8/16/2007 4:18:00 PM,12,E,53. Highway (Outside Structure),2675502.75004506,220892.842942644
200718052670,111,111 - Homicide: Handgun,200 BLOCK S ALDEN ST,8/16/2007 12:27:00 AM,18,P,53. Highway (Outside Structure),2673038.73639854,237248.690099437
200723033411,111,111 - Homicide: Handgun,2600 BLOCK W JEFFERSON ST,8/15/2007 6:09:00 PM,23,M,53. Highway (Outside Structure),2689227.24547683,245467.089122352
200724069336,111,111 - Homicide: Handgun,1600 BLOCK E HUNTING PARK AV,8/15/2007 5:21:00 PM,24,N,70. Private Residence,2711982.22167207,257359.245872377
200706048940,123,123 - Homicide: Non-Traffic,N 10TH ST  &  RACE ST,8/14/2007 9:14:00 AM,06,K,53. Highway (Outside Structure),2695638.21392466,237283.464645124
