DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200705013166,123,123 - Homicide: Non-Traffic,RIDGE AV  &  LEVERINGTON AV,5/30/2007 12:27:00 PM,05,L,53. Highway (Outside Structure),2677569.78210184,265988.658500475
200722030921,111,111 - Homicide: Handgun,2500 BLOCK W SERGENT ST,5/30/2007 12:04:00 AM,22,K,53. Highway (Outside Structure),2690276.34419062,251235.891047125
200708023229,114,114 - Homicide: Knife,3800 BLOCK LINDEN AV,5/28/2007 1:59:00 PM,08,G,66. Apartment House/Condominium,2736358.10287786,275273.955329037
200717023136,111,111 - Homicide: Handgun,2300 BLOCK WATKINS ST,5/25/2007 4:19:00 PM,17,I,53. Highway (Outside Structure),2688117.18599262,228088.212771981
200712045493,121,121 - Homicide: Auto,S 70TH ST  &  PASCHALL AV,5/23/2007 12:58:00 PM,12,F,53. Highway (Outside Structure),2672378.13285917,223557.296976041
200739031020,111,111 - Homicide: Handgun,5100 BLOCK HENLEY ST,5/22/2007 8:50:00 PM,39,T,53. Highway (Outside Structure),2690777.85931853,263510.973200838
200722028864,111,111 - Homicide: Handgun,1600 BLOCK W YORK ST,5/20/2007 2:16:00 PM,22,E,53. Highway (Outside Structure),2694454.08221074,249790.771966359
200722028844,111,111 - Homicide: Handgun,1500 BLOCK W YORK ST,5/20/2007 11:08:00 AM,22,D,53. Highway (Outside Structure),2694739.90116148,249745.7893845
200722028826,111,111 - Homicide: Handgun,2700 BLOCK W OAKDALE ST,5/20/2007 6:23:00 AM,22,N,53. Highway (Outside Structure),2689643.92847637,251981.10148498
200717022100,111,111 - Homicide: Handgun,1400 BLOCK TASKER ST,5/19/2007 11:57:00 PM,17,A,53. Highway (Outside Structure),2692080.8344791,228156.652787991
200715053119,111,111 - Homicide: Handgun,4800 BLOCK GRISCOM ST,5/19/2007 6:53:00 PM,15,G,53. Highway (Outside Structure),2715314.94829346,260957.403360575
200703016274,111,111 - Homicide: Handgun,900 BLOCK S 5TH ST,5/19/2007 1:49:00 AM,03,D,70. Private Residence,2696957.54017696,230502.006294546
200703016271,111,111 - Homicide: Handgun,900 BLOCK S 5TH ST,5/19/2007 1:05:00 AM,03,D,70. Private Residence,2696957.54017696,230502.006294546
200704020902,117,117 - Homicide: felon by Police Officer,700 BLOCK HOFFMAN ST,5/18/2007 1:27:00 AM,04,L,53. Highway (Outside Structure),2695408.74363847,226164.661973449
200716021602,111,111 - Homicide: Handgun,N 41ST ST  &  CAMBRIDGE ST,5/18/2007 12:43:00 AM,16,O,53. Highway (Outside Structure),2681326.1010272,243348.076628153
200715052381,121,121 - Homicide: Auto,TACONY ST &  VAN KIRK ST,5/18/2007 12:12:00 AM,15,I,53. Highway (Outside Structure),2722311.35918806,258872.509607593
200716021594,113,113 - Homicide: Shotgun,4100 BLOCK PENNSGROVE ST,5/17/2007 10:43:00 PM,16,L,70. Private Residence,2681076.38871032,242486.698289856
200719030778,111,111 - Homicide: Handgun,1600 BLOCK N ROBINSON ST,5/15/2007 11:54:00 PM,19,H,53. Highway (Outside Structure),2671101.7095627,243968.508316099
200726036488,117,117 - Homicide: felon by Police Officer,1900 BLOCK N 5TH ST,5/15/2007 10:14:00 AM,26,I,53. Highway (Outside Structure),2699077.53957148,246666.875605005
200714034216,111,111 - Homicide: Handgun,6400 BLOCK BELFIELD AV,5/14/2007 6:17:00 AM,14,N,53. Highway (Outside Structure),2689109.48667574,272962.452030907
200726035817,115,115 - Homicide: Beating,100 BLOCK W MASTER ST,5/13/2007 12:04:00 AM,26,H,70. Private Residence,2700508.51249688,243591.389465284
200718029045,111,111 - Homicide: Handgun,5700 BLOCK CHRISTIAN ST,5/11/2007 11:36:00 PM,18,N,53. Highway (Outside Structure),2672841.14249333,234182.983620872
200718029029,111,111 - Homicide: Handgun,S 57TH ST & RODMAN ST,5/11/2007 10:05:00 PM,18,O,53. Highway (Outside Structure),2673014.01002994,235490.673853184
200715049742,111,111 - Homicide: Handgun,6000 BLOCK DUFFIELD ST,5/11/2007 7:16:00 PM,15,J,70. Private Residence,2720070.75009611,263844.298352693
200712041394,118,118 - Homicide: felon by Civilian,5900 BLOCK GREENWAY AV,5/11/2007 11:45:00 AM,12,J,70. Private Residence,2675709.89329125,228216.681204102
200718028688,111,111 - Homicide: Handgun,S 52ND ST & MARKET ST,5/10/2007 3:51:00 PM,18,I,53. Highway (Outside Structure),2676261.78982482,238408.057502449
200714033100,111,111 - Homicide: Handgun,W 77TH AV & OGONTZ AV,5/10/2007 12:59:00 PM,14,Q,53. Highway (Outside Structure),2693983.52589053,279286.586897685
200719029270,111,111 - Homicide: Handgun,5100 BLOCK HARLAN ST,5/9/2007 9:24:00 PM,19,O,53. Highway (Outside Structure),2675986.81969413,243848.796443225
200725046330,111,111 - Homicide: Handgun,N 2ND ST & W GLENWOOD AV,5/6/2007 4:18:00 AM,25,S,53. Highway (Outside Structure),2701784.48982549,255388.212189484
200714030498,123,123 - Homicide: Non-Traffic,W CHELTENHAM AV & IVY HILL RD,5/1/2007 5:10:00 PM,14,1,53. Highway (Outside Structure),2688509.19037894,284187.043425241
200717018446,117,117 - Homicide: felon by Police Officer,1200 BLOCK S 19TH ST,5/1/2007 12:26:00 AM,17,E,53. Highway (Outside Structure),2690367.69049056,229937.824108941
