DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200719012205,111,111 - Homicide: Handgun,4900 BLOCK W MASTER ST,2/28/2007 11:13:00 AM,19,O,53. Highway (Outside Structure),2676644.07101325,243732.754028206
200735015762,111,111 - Homicide: Handgun,N 11TH ST & W LOUDEN ST,2/26/2007 6:57:00 PM,35,H,53. Highway (Outside Structure),2698720.12360399,262914.65778087
200739011262,111,111 - Homicide: Handgun,2800 BLOCK WOODSTOCK ST,2/26/2007 2:52:00 PM,39,G,53. Highway (Outside Structure),2692816.83882895,252321.354318354
200715020327,111,111 - Homicide: Handgun,1600 BLOCK HARRISON ST,2/25/2007 7:02:00 PM,15,H,66. Apartment House/Condominium,2716465.11091105,260673.518986511
200725018773,111,111 - Homicide: Handgun,600 BLOCK W LURAY ST,2/24/2007 9:04:00 PM,25,L,53. Highway (Outside Structure),2700390.90204875,261578.535290807
200702012792,111,111 - Homicide: Handgun,5300 BLOCK CLARIDGE ST,2/24/2007 1:59:00 AM,02,P,53. Highway (Outside Structure),2708660.08006034,265841.988384095
200708008115,111,111 - Homicide: Handgun,2800 BLOCK WELSH RD,2/23/2007 11:29:00 PM,08,M,53. Highway (Outside Structure),2730255.13093339,277043.533571922
200715019662,123,123 - Homicide: Non-Traffic,4600 BLOCK ARAMINGO AV,2/23/2007 6:56:00 PM,15,B,53. Highway (Outside Structure),2717075.95474355,255699.357852299
200719011046,111,111 - Homicide: Handgun,1 BLOCK N 52ND ST,2/22/2007 4:35:00 PM,19,R,53. Highway (Outside Structure),2676303.63678177,238758.563369491
200715018649,123,123 - Homicide: Non-Traffic,ROBBINS ST & TORRESDALE AV,2/21/2007 8:04:00 AM,15,J,53. Highway (Outside Structure),2723543.38669703,261857.644176978
200715018599,123,123 - Homicide: Non-Traffic,BETSY ROSS BR & DELAWARE EXP,2/21/2007 12:24:00 AM,15,A,53. Highway (Outside Structure),2716801.83217386,251692.82289626
200712014060,111,111 - Homicide: Handgun,1300 BLOCK S 56TH ST,2/18/2007 11:13:00 PM,12,Q,53. Highway (Outside Structure),2674928.12692222,231693.370888515
200725016509,111,111 - Homicide: Handgun,2800 BLOCK HOPE ST,2/18/2007 3:01:00 PM,25,G,53. Highway (Outside Structure),2702194.77343989,251115.838839107
200707005255,121,121 - Homicide: Auto,8800 BLOCK KREWSTOWN RD,2/18/2007 3:40:00 AM,07,E,53. Highway (Outside Structure),2723743.01679783,284135.743285787
200735013329,111,111 - Homicide: Handgun,4500 BLOCK N BROAD ST,2/17/2007 11:55:00 PM,35,G,53. Highway (Outside Structure),2696986.2849265,261419.396168164
200723006653,111,111 - Homicide: Handgun,1200 BLOCK N 30TH ST,2/17/2007 1:55:00 AM,23,N,"40. Bar, Taproom, Caf?",2687278.60849679,244347.945144105
200717006520,111,111 - Homicide: Handgun,2600 BLOCK DICKINSON ST,2/15/2007 4:47:00 PM,17,L,19. Grocery Store/Deli,2686614.06154193,229361.993949373
200724012669,111,111 - Homicide: Handgun,2900 BLOCK B ST,2/15/2007 6:48:00 AM,24,P,53. Highway (Outside Structure),2703502.19554082,251403.101900015
200704006453,111,111 - Homicide: Handgun,600 BLOCK HOFFMAN ST,2/14/2007 7:51:00 AM,04,L,53. Highway (Outside Structure),2695780.5834813,226111.637437625
200701004482,112,112 - Homicide: Rifle,5100 BLOCK S 11TH ST,2/13/2007 3:09:00 AM,01,M,27. Office Building,2692540.0895823,212846.705037929
200701004483,112,112 - Homicide: Rifle,5100 BLOCK S 11TH ST,2/13/2007 3:09:00 AM,01,M,27. Office Building,2692540.0895823,212846.705037929
200701004462,112,112 - Homicide: Rifle,5100 BLOCK S 11TH ST,2/12/2007 8:29:00 PM,01,M,27. Office Building,2692540.0895823,212846.705037929
200724011875,111,111 - Homicide: Handgun,2800 BLOCK ROSEHILL ST,2/11/2007 8:06:00 PM,24,P,53. Highway (Outside Structure),2703868.11506954,251019.595900648
200712012029,117,117 - Homicide: felon by Police Officer,6400 BLOCK DICKS AV,2/10/2007 6:15:00 PM,12,H,53. Highway (Outside Structure),2676265.92276128,224084.201453827
200706008121,111,111 - Homicide: Handgun,700 BLOCK ARCH ST,2/10/2007 2:06:00 AM,06,H,106. Parking Lot / Parking Garage,2696806.51981436,236448.244847876
200712011631,111,111 - Homicide: Handgun,5800 BLOCK HOFFMAN AV,2/9/2007 7:26:00 AM,12,L,53. Highway (Outside Structure),2672578.08510488,232209.944535228
200719008223,111,111 - Homicide: Handgun,W BERKS ST & GEORGES LA,2/9/2007 12:26:00 AM,19,I,53. Highway (Outside Structure),2674385.3240708,247882.967348919
200702009361,111,111 - Homicide: Handgun,900 BLOCK ANCHOR ST,2/8/2007 6:57:00 PM,02,N,70. Private Residence,2714049.65806094,265998.492812983
200735010540,111,111 - Homicide: Handgun,4800 BLOCK N FRANKLIN ST,2/8/2007 1:14:00 AM,35,Q,53. Highway (Outside Structure),2700090.21442651,262889.177823653
200735010052,123,123 - Homicide: Non-Traffic,1400 BLOCK W OLNEY AV,2/6/2007 5:56:00 AM,35,I,53. Highway (Outside Structure),2697508.57950828,267833.980887482
200714008028,111,111 - Homicide: Handgun,400 BLOCK GLEN ECHO RD,2/2/2007 3:42:00 AM,14,O,53. Highway (Outside Structure),2683543.08798098,272078.011713426
