DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200922012274,123,123 - Homicide: Non-Traffic,2500 BLOCK DIAMOND ST,2/28/2009 4:58:00 PM,22,L,53. Highway (Outside Structure),2690124.16013088,248652.399081217
200939011998,123,123 - Homicide: Non-Traffic,4800 BLOCK WAYNE AV,2/27/2009 7:21:00 PM,39,U,53. Highway (Outside Structure),2692367.43795966,262159.492188666
200935016111,111,111 - Homicide: Handgun,400 BLOCK W CHEW AV,2/27/2009 6:24:00 PM,35,B,53. Highway (Outside Structure),2702470.37592325,267499.599332099
200926012591,111,111 - Homicide: Handgun,N 3RD ST  &  W LEHIGH AV,2/26/2009 9:13:00 PM,26,K,"40. Bar, Taproom, Caf?",2700443.50370414,250672.938735501
200925019535,117,117 - Homicide: felon by Police Officer,1000 BLOCK W INDIANA AV,2/26/2009 12:06:00 PM,25,N,53. Highway (Outside Structure),2697553.2830579,252776.099920213
200902012427,123,123 - Homicide: Non-Traffic,BUSTLETON AV  &  COTTMAN AV,2/26/2009 10:01:00 AM,02,G,53. Highway (Outside Structure),2721502.38627292,271722.391096651
200904007956,123,123 - Homicide: Non-Traffic,2100 BLOCK S SWANSON ST,2/26/2009 3:08:00 AM,04,A,53. Highway (Outside Structure),2698732.87619893,224966.222412397
200916011215,111,111 - Homicide: Handgun,N 38TH ST &  SPRING GARDEN ST,2/24/2009 11:24:00 PM,16,F,53. Highway (Outside Structure),2683991.2274731,239461.850590436
200923008603,111,111 - Homicide: Handgun,1300 BLOCK N 10TH ST,2/24/2009 1:51:00 AM,23,A,53. Highway (Outside Structure),2696529.53544445,243766.217529125
200923008599,111,111 - Homicide: Handgun,1300 BLOCK N 10TH ST,2/23/2009 10:51:00 PM,23,A,53. Highway (Outside Structure),2696529.53544445,243766.217529125
200939011143,111,111 - Homicide: Handgun,2900 BLOCK N 22ND ST,2/23/2009 9:44:00 PM,39,H,45. Restaurants (non-PLCB),2692119.52803168,253169.138459735
200915018821,116,116 - Homicide: Other,1300 BLOCK ANCHOR ST,2/23/2009 8:02:00 PM,15,K,70. Private Residence,2716780.47843897,263988.56631425
200915018599,111,111 - Homicide: Handgun,4700 BLOCK LEIPER ST,2/23/2009 9:24:00 AM,15,G,53. Highway (Outside Structure),2714490.83028459,260703.823538449
200939010824,111,111 - Homicide: Handgun,1800 BLOCK W HUNTING PARK AV,2/21/2009 8:44:00 PM,39,M,53. Highway (Outside Structure),2694558.39486947,258701.539029904
200922010482,114,114 - Homicide: Knife,2300 BLOCK N 13TH ST,2/21/2009 10:13:00 AM,22,B,53. Highway (Outside Structure),2695933.67040233,249223.036995063
200904007221,111,111 - Homicide: Handgun,500 BLOCK W MOYAMENSING AV,2/21/2009 1:04:00 AM,04,E,53. Highway (Outside Structure),2695891.20605793,224809.637567576
200992001135,123,123 - Homicide: Non-Traffic,600 BLOCK KELLY DR,2/20/2009 7:00:00 PM,92,A,53. Highway (Outside Structure),2688943.13462584,241072.262532289
200924014015,117,117 - Homicide: felon by Police Officer,800 BLOCK E HILTON ST,2/19/2009 10:36:00 PM,24,O,53. Highway (Outside Structure),2706782.83389946,252828.006369586
200902010980,123,123 - Homicide: Non-Traffic,6900 BLOCK E ROOSEVELT BLVD,2/19/2009 2:16:00 PM,02,G,53. Highway (Outside Structure),2721499.79790522,268689.339830001
200914011918,111,111 - Homicide: Handgun,5600 BLOCK STOKES ST,2/18/2009 8:36:00 PM,14,Z,53. Highway (Outside Structure),2692229.89692676,268883.472600996
200922009025,114,114 - Homicide: Knife,2600 BLOCK N BROAD ST,2/14/2009 2:58:00 PM,22,E,53. Highway (Outside Structure),2695505.41261262,250763.76458887
200907005595,123,123 - Homicide: Non-Traffic,8900 BLOCK E ROOSEVELT BLVD,2/13/2009 9:39:00 PM,07,D,53. Highway (Outside Structure),2727295.75916426,280475.36232409
200935012579,111,111 - Homicide: Handgun,5600 BLOCK N BROAD ST,2/13/2009 8:20:00 PM,35,E,53. Highway (Outside Structure),2697859.46468594,267855.237174419
200917006367,111,111 - Homicide: Handgun,1800 BLOCK MORRIS ST,2/13/2009 1:16:00 AM,17,A,53. Highway (Outside Structure),2690384.7191874,227933.861682557
