DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200808053166,114,114 - Homicide: Knife,8200 BLOCK STATE RD ,10/31/2008 7:18:00 PM,08,A,82. Prison Facility,2732909.93839631,266455.13485039
200839077120,111,111 - Homicide: Handgun,2000 BLOCK W TIOGA ST,10/29/2008 2:50:00 PM,39,J,53. Highway (Outside Structure),2693329.24628346,256206.216997932
200835100855,111,111 - Homicide: Handgun,200 BLOCK W ALBANUS ST,10/28/2008 7:48:00 PM,35,Q,53. Highway (Outside Structure),2702598.56988338,263305.80554673
200835100804,111,111 - Homicide: Handgun,4900 BLOCK N CAMAC ST,10/28/2008 5:04:00 PM,35,H,70. Private Residence,2698131.89019841,263581.709361186
200824094561,123,123 - Homicide: Non-Traffic,800 BLOCK E ERIE AV,10/28/2008 7:21:00 AM,24,N,53. Highway (Outside Structure),2707013.43720892,256038.871862336
200801037813,123,123 - Homicide: Non-Traffic,S 21ST ST  &  MOORE ST,10/27/2008 8:51:00 AM,01,B,53. Highway (Outside Structure),2689054.03080253,227667.829814439
200825119774,111,111 - Homicide: Handgun,100 BLOCK W WINGOHOCKING ST,10/27/2008 6:10:00 AM,25,L,53. Highway (Outside Structure),2703601.82749172,260497.090734628
200815122544,111,111 - Homicide: Handgun,1400 BLOCK UNITY ST,10/27/2008 3:55:00 AM,15,D,53. Highway (Outside Structure),2713497.9222186,259129.937637414
200816061242,111,111 - Homicide: Handgun,1000 BLOCK PALLAS ST,10/26/2008 11:10:00 PM,16,L,53. Highway (Outside Structure),2680002.32052253,242692.074644662
200815122328,123,123 - Homicide: Non-Traffic,DISSTON ST  &  TORRESDALE AV,10/26/2008 10:46:00 AM,15,U,53. Highway (Outside Structure),2726713.45740624,264139.018677806
200812094585,123,123 - Homicide: Non-Traffic,ISLAND AV  &  BUIST AV,10/26/2008 3:25:00 AM,12,E,53. Highway (Outside Structure),2671858.67834728,220631.141154524
