DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200916060275,123,123 - Homicide: Non-Traffic,3900 BLOCK POPLAR ST,9/29/2009 5:32:00 PM,16,1,53. Highway (Outside Structure),2682249.22425948,243244.542731053
200912092234,116,116 - Homicide: Other,1500 BLOCK S LINDENWOOD ST,9/28/2009 10:45:00 AM,12,3,70. Private Residence,2678358.44925278,230656.117977273
200915107030,123,123 - Homicide: Non-Traffic,E ROOSEVELT BLVD  &  BRIDGE ST,9/27/2009 11:07:00 PM,15,2,53. Highway (Outside Structure),2713944.74721096,264958.970227134
200926066554,111,111 - Homicide: Handgun,2600 BLOCK N MARSHALL ST,9/26/2009 10:09:00 PM,26,1,53. Highway (Outside Structure),2698770.12705938,250309.224634416
200914074361,111,111 - Homicide: Handgun,1100 BLOCK E HORTTER ST,9/25/2009 6:10:00 PM,14,C,53. Highway (Outside Structure),2690674.99043992,277530.754160147
200919087474,111,111 - Homicide: Handgun,1300 BLOCK N 56TH ST,9/24/2009 2:42:00 PM,19,3,53. Highway (Outside Structure),2673866.5206997,242973.829673504
200912090829,111,111 - Homicide: Handgun,5400 BLOCK TRINITY ST,9/23/2009 9:32:00 PM,12,Q,53. Highway (Outside Structure),2676755.7224674,231121.828752615
200917046754,111,111 - Homicide: Handgun,2400 BLOCK MORRIS ST,9/23/2009 9:10:00 PM,17,I,53. Highway (Outside Structure),2687742.34124885,228300.40718757
200922062726,111,111 - Homicide: Handgun,2500 BLOCK N COLORADO ST,9/22/2009 12:54:00 AM,22,1,53. Highway (Outside Structure),2693935.4394719,250455.408822165
200926065342,111,111 - Homicide: Handgun,400 BLOCK W NORRIS ST,9/21/2009 7:48:00 PM,26,1,53. Highway (Outside Structure),2699439.24518077,246805.696956397
200912090074,111,111 - Homicide: Handgun,6600 BLOCK GUYER AVE,9/21/2009 7:00:00 PM,12,H,19. Grocery Store/Deli,2675730.29813709,223279.568549612
200919086496,111,111 - Homicide: Handgun,N 64TH ST  &  CALLOWHILL ST,9/21/2009 10:51:00 AM,19,1,53. Highway (Outside Structure),2669820.93241007,241536.618590955
200918064530,117,117 - Homicide: felon by Police Officer,S 58TH ST  &  WEBSTER ST,9/20/2009 1:53:00 AM,18,N,53. Highway (Outside Structure),2672341.14996808,234621.970044586
200935080412,111,111 - Homicide: Handgun,4800 BLOCK N 11TH ST,9/19/2009 11:36:00 PM,35,H,53. Highway (Outside Structure),2698737.66099869,263019.545408107
200925098510,111,111 - Homicide: Handgun,4000 BLOCK N BROAD ST,9/17/2009 11:59:00 PM,25,P,53. Highway (Outside Structure),2696646.32421598,258989.018296144
200939061084,111,111 - Homicide: Handgun,1700 BLOCK W BRISTOL ST,9/15/2009 12:31:00 AM,39,2,53. Highway (Outside Structure),2695479.63370182,260495.55552148
