DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200717056233,111,111 - Homicide: Handgun,2000 BLOCK DICKINSON ST,11/30/2007 2:48:00 PM,17,B,53. Highway (Outside Structure),2689614.46654668,228956.913196296
200722071568,111,111 - Homicide: Handgun,N 11TH ST &  DIAMOND ST,11/29/2007 5:26:00 PM,22,A,53. Highway (Outside Structure),2696628.56078644,247735.651817653
200712102746,123,123 - Homicide: Non-Traffic,S 58TH ST  &  CHESTER AV,11/29/2007 2:05:00 PM,12,P,53. Highway (Outside Structure),2675486.90731512,229540.083483036
200739073888,111,111 - Homicide: Handgun,1800 BLOCK W SOMERSET ST,11/28/2007 4:18:00 PM,39,A,53. Highway (Outside Structure),2694048.34038487,252137.071230885
200709059244,123,123 - Homicide: Non-Traffic,2000 BLOCK BENJAMIN FRANKLIN PKWY,11/28/2007 11:24:00 AM,09,I,53. Highway (Outside Structure),2691056.09703348,238394.718302005
200717055438,114,114 - Homicide: Knife,1200 BLOCK S NAPA ST,11/26/2007 7:04:00 AM,17,P,53. Highway (Outside Structure),2684708.530893,230918.053102935
200718077143,117,117 - Homicide: felon by Police Officer,S 38TH ST  &  CHESTNUT ST,11/26/2007 12:13:00 AM,18,C,43. Night Club,2683754.28724201,236851.333844888
200739073324,114,114 - Homicide: Knife,100 BLOCK W LOGAN ST,11/25/2007 6:29:00 PM,39,U,53. Highway (Outside Structure),2692413.54867749,262899.390953625
200715127129,123,123 - Homicide: Non-Traffic,DELAWARE EXP RAMP A  &  ARAMINGO AV,11/25/2007 7:52:00 AM,15,B,53. Highway (Outside Structure),2718180.67418037,256892.932817144
200715127123,111,111 - Homicide: Handgun,1600 BLOCK BRILL ST,11/25/2007 4:48:00 AM,15,J,53. Highway (Outside Structure),2717511.55853266,262784.51180129
200725126190,111,111 - Homicide: Handgun,800 BLOCK W TIOGA ST,11/24/2007 6:16:00 PM,25,K,53. Highway (Outside Structure),2698860.51381291,255447.512966787
200716052659,111,111 - Homicide: Handgun,5100 BLOCK PARRISH ST,11/22/2007 3:39:00 AM,16,R,53. Highway (Outside Structure),2676375.12546225,240854.081143647
200715125964,123,123 - Homicide: Non-Traffic,5800 BLOCK E ROOSEVELT BLVD,11/21/2007 5:50:00 PM,15,K,53. Highway (Outside Structure),2714926.61715496,265643.581201978
200712100044,111,111 - Homicide: Handgun,6500 BLOCK WHEELER ST,11/19/2007 7:18:00 PM,12,H,53. Highway (Outside Structure),2674759.88255013,224777.90874122
200706069222,111,111 - Homicide: Handgun,1 BLOCK S FRONT,11/18/2007 4:12:00 AM,06,T,106. Parking Lot / Parking Garage,2699503.85691262,234992.793239526
200725123929,111,111 - Homicide: Handgun,N BROAD ST &  W SOMERSET ST,11/18/2007 3:47:00 AM,25,M,53. Highway (Outside Structure),2695668.11489424,251915.616132454
200725123926,111,111 - Homicide: Handgun,N BROAD ST  &  W SOMERSET ST,11/18/2007 1:57:00 AM,25,M,53. Highway (Outside Structure),2695668.11489424,251915.616132454
200714087650,111,111 - Homicide: Handgun,7100 BLOCK RODNEY ST,11/17/2007 8:35:00 PM,14,Y,53. Highway (Outside Structure),2694005.05860869,274925.994773521
200714087483,111,111 - Homicide: Handgun,6600 BLOCK ROSS ST,11/17/2007 1:50:00 AM,14,M,53. Highway (Outside Structure),2687158.70631777,272372.720815594
200701037905,114,114 - Homicide: Knife,2000 BLOCK MERCY ST,11/16/2007 11:12:00 PM,01,B,70. Private Residence,2689074.39492466,226462.922603175
200735102724,111,111 - Homicide: Handgun,6100 BLOCK OLD YORK RD,11/13/2007 10:41:00 PM,35,J,53. Highway (Outside Structure),2697598.11497683,270605.849839582
200715122635,123,123 - Homicide: Non-Traffic,5200 BLOCK E ROOSEVELT BLVD,11/13/2007 9:04:00 AM,15,E,53. Highway (Outside Structure),2713477.5154953,264595.987260356
200735102328,123,123 - Homicide: Non-Traffic,6300 BLOCK CRESCENTVILLE RD,11/12/2007 5:35:00 PM,35,C,53. Highway (Outside Structure),2706781.24179393,270785.691957669
200719076277,111,111 - Homicide: Handgun,N 61ST ST  &  W OXFORD ST,11/11/2007 5:02:00 PM,19,H,53. Highway (Outside Structure),2671084.06200123,245571.056233359
200792008911,123,123 - Homicide: Non-Traffic,KELLY DR  &  FOUNTAIN GREEN DR,11/11/2007 4:07:00 AM,92,C,53. Highway (Outside Structure),2683572.97126795,246131.293536215
200726080130,111,111 - Homicide: Handgun,900 BLOCK N 7TH ST,11/11/2007 12:53:00 AM,26,L,53. Highway (Outside Structure),2697525.6037198,241779.000680838
200712097502,111,111 - Homicide: Handgun,2000 BLOCK S 65TH ST,11/10/2007 2:51:00 AM,12,J,53. Highway (Outside Structure),2673384.67643076,226393.995568591
200701036831,111,111 - Homicide: Handgun,1900 BLOCK SIGEL ST,11/8/2007 9:33:00 PM,01,B,53. Highway (Outside Structure),2689836.05734137,227260.311123281
200735100972,111,111 - Homicide: Handgun,400 BLOCK W SPENCER AV,11/7/2007 10:53:00 PM,35,B,19. Grocery Store/Deli,2702777.56998849,269737.403701029
200722066875,111,111 - Homicide: Handgun,1800 BLOCK W NORRIS ST,11/7/2007 5:43:00 PM,22,F,53. Highway (Outside Structure),2693258.11544298,247654.287606475
200725120097,111,111 - Homicide: Handgun,1100 BLOCK RISING SUN AV,11/7/2007 3:17:00 AM,25,O,53. Highway (Outside Structure),2697439.40363531,255316.334935501
200722066749,111,111 - Homicide: Handgun,N 21ST ST  &  W YORK ST,11/6/2007 7:23:00 PM,22,H,53. Highway (Outside Structure),2692160.2082366,250104.855596893
200724094851,111,111 - Homicide: Handgun,800 BLOCK E HILTON ST,11/5/2007 11:59:00 AM,24,O,53. Highway (Outside Structure),2706553.03743127,252859.338117577
200701036433,111,111 - Homicide: Handgun,1900 BLOCK S 30TH ST,11/5/2007 12:56:00 AM,01,D,53. Highway (Outside Structure),2684910.99560908,227757.573632305
200739069172,111,111 - Homicide: Handgun,3200 BLOCK N 17TH ST,11/3/2007 11:45:00 PM,39,C,72. Rooming House / Shelter,2694657.6441853,254549.110758326
200719074633,111,111 - Homicide: Handgun,5800 BLOCK CALLOWHILL,11/3/2007 7:57:00 PM,19,M,53. Highway (Outside Structure),2673193.72176782,241087.646234186
200739068998,111,111 - Homicide: Handgun,300 BLOCK W QUEEN LA,11/3/2007 3:02:00 AM,39,V,53. Highway (Outside Structure),2689790.03006208,263061.51869547
200708050464,123,123 - Homicide: Non-Traffic,E ROOSEVELT BLVD  &  LOTT AV,11/2/2007 12:31:00 AM,08,N,53. Highway (Outside Structure),2730893.62024094,285440.628277982
