DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200917060133,111,111 - Homicide: Handgun,2000 BLOCK DICKINSON ST,11/30/2009 5:04:00 PM,17,3,53. Highway (Outside Structure),2689375.91182633,228983.66097335
200916073114,114,114 - Homicide: Knife,3600 BLOCK MELON ST,11/29/2009 8:54:00 PM,16,1,53. Highway (Outside Structure),2684550.80951541,240620.992732967
200919107014,111,111 - Homicide: Handgun,6000 BLOCK MARKET ST,11/29/2009 6:50:00 AM,19,1,53. Highway (Outside Structure),2671438.09174306,239042.049169535
200916072918,111,111 - Homicide: Handgun,1 BLOCK FARSON ST,11/28/2009 7:42:00 PM,16,2,53. Highway (Outside Structure),2677116.96287809,238438.401544198
200918080639,111,111 - Homicide: Handgun,5700 BLOCK DELANCEY ST,11/25/2009 8:52:00 PM,18,1,53. Highway (Outside Structure),2672859.97285183,236641.091934773
200914090344,111,111 - Homicide: Handgun,STENTON AV  &  E DUVAL ST,11/24/2009 7:38:00 PM,14,1,53. Highway (Outside Structure),2691706.32516408,275231.537990893
200939076373,111,111 - Homicide: Handgun,WISSAHICKON AV  &  W CLAPIER ST,11/21/2009 11:41:00 PM,39,1,53. Highway (Outside Structure),2690105.45284426,260093.178396889
200924102392,117,117 - Homicide: felon by Police Officer,2600 BLOCK E ELKHART ST,11/21/2009 10:58:00 PM,24,3,53. Highway (Outside Structure),2708837.42056698,247908.618500492
200922076942,115,115 - Homicide: Beating,2200 BLOCK EDGLEY ST,11/21/2009 6:41:00 AM,22,2,53. Highway (Outside Structure),2691428.01659338,248708.237900389
200939076104,118,118 - Homicide: felon by Civilian,3000 BLOCK N 15TH ST,11/20/2009 11:36:00 PM,39,3,70. Private Residence,2695408.42434581,253387.232292141
200922076867,111,111 - Homicide: Handgun,2400 BLOCK W LEHIGH AV,11/20/2009 10:22:00 PM,22,2,5. Barber Shops/Beauty Salon,2691024.64669395,251964.869038814
200918079307,114,114 - Homicide: Knife,1300 BLOCK S 46TH ST,11/20/2009 8:51:00 AM,18,3,70. Private Residence,2681040.78710205,232464.308643813
200901037579,111,111 - Homicide: Handgun,2200 BLOCK S 27TH ST,11/17/2009 7:30:00 PM,01,1,53. Highway (Outside Structure),2685979.89923242,226010.995148323
200912109266,111,111 - Homicide: Handgun,6100 BLOCK UPLAND ST,11/17/2009 3:41:00 AM,12,2,70. Private Residence,2674627.75292937,227460.958145866
200917057095,114,114 - Homicide: Knife,2300 BLOCK REED ST,11/15/2009 12:44:00 PM,17,3,70. Private Residence,2688224.82064668,229599.820723341
200915124698,111,111 - Homicide: Handgun,7900 BLOCK CRAIG ST,11/15/2009 1:44:00 AM,15,3,53. Highway (Outside Structure),2729852.14129734,269797.211929971
200912108225,111,111 - Homicide: Handgun,5300 BLOCK REINHARD ST,11/14/2009 12:35:00 AM,12,3,53. Highway (Outside Structure),2677806.45339423,230755.317048342
