DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200824036058,111,111 - Homicide: Handgun,2800 BLOCK JASPER ST,4/30/2008 12:50:00 PM,24,C,53. Highway (Outside Structure),2705040.23349389,250396.970155353
200824035282,111,111 - Homicide: Handgun,2100 BLOCK E CAMBRIA ST,4/27/2008 5:50:00 PM,24,L,53. Highway (Outside Structure),2706247.71797659,249715.920624027
200816021489,111,111 - Homicide: Handgun,300 BLOCK BUSTI ST,4/27/2008 1:32:00 PM,16,I,66. Apartment House/Condominium,2680625.0669875,238091.992217425
200835038037,115,115 - Homicide: Beating,5000 BLOCK N BROAD ST,4/27/2008 4:02:00 AM,35,S,53. Highway (Outside Structure),2697375.0878574,264298.783780126
200814034534,111,111 - Homicide: Handgun,6800 BLOCK LIMEKILN PIKE,4/27/2008 2:48:00 AM,14,Y,53. Highway (Outside Structure),2695459.83115785,274779.925947929
200835038000,111,111 - Homicide: Handgun,4900 BLOCK N BROAD ST,4/27/2008 1:45:00 AM,35,H,"40. Bar, Taproom, Caf?",2697324.470773,263938.015876576
200835037991,121,121 - Homicide: Auto,5300 BLOCK N BROAD ST,4/27/2008 12:18:00 AM,35,I,53. Highway (Outside Structure),2697596.02111055,265903.753756051
200802027369,123,123 - Homicide: Non-Traffic,500 BLOCK TYSON AV,4/24/2008 4:15:00 PM,02,J,53. Highway (Outside Structure),2713662.71222148,274667.957124092
200815045936,121,121 - Homicide: Auto,E CHELTENHAM AV  &  BUSTLETON AV,4/24/2008 9:30:00 AM,15,K,53. Highway (Outside Structure),2717378.58673074,264060.405787945
200802027222,123,123 - Homicide: Non-Traffic,E ROOSEVELT BLVD  &  ADAMS AV,4/23/2008 11:45:00 PM,02,N,53. Highway (Outside Structure),2709627.328156,264855.878025857
200824033291,111,111 - Homicide: Handgun,3700 BLOCK FRANKFORD AV,4/21/2008 3:34:00 PM,24,J,9. Car Wash,2711697.79954498,254589.838217945
200823018149,111,111 - Homicide: Handgun,2400 BLOCK CLIFFORD ST,4/20/2008 7:26:00 PM,23,K,53. Highway (Outside Structure),2690201.8312932,246612.298264623
200822027511,111,111 - Homicide: Handgun,1800 BLOCK N 20TH ST,4/20/2008 9:26:00 AM,22,F,53. Highway (Outside Structure),2692249.23692,246878.201725818
200835035541,111,111 - Homicide: Handgun,5400 BLOCK N 5TH ST,4/20/2008 3:00:00 AM,35,D,53. Highway (Outside Structure),2701738.6424139,265970.184314544
200812033076,111,111 - Homicide: Handgun,2600 BLOCK HOBSON ST,4/19/2008 11:24:00 PM,12,H,53. Highway (Outside Structure),2674664.15483344,223128.118135173
200819027248,111,111 - Homicide: Handgun,5700 BLOCK HAVERFORD AV,4/19/2008 6:12:00 PM,19,M,85. Athletics/Playgroud/Rec Center,2673687.61804385,241244.847667065
200815043508,111,111 - Homicide: Handgun,4800 BLOCK TACKAWANNA ST,4/18/2008 8:02:00 PM,15,H,53. Highway (Outside Structure),2717182.09605216,259886.683117063
200816019714,123,123 - Homicide: Non-Traffic,N 38TH ST &  W GIRARD AV,4/17/2008 10:30:00 PM,16,O,53. Highway (Outside Structure),2683214.49688044,243943.622472845
200817017360,111,111 - Homicide: Handgun,2600 BLOCK DICKINSON ST,4/16/2008 5:15:00 AM,17,L,53. Highway (Outside Structure),2686904.09316228,229319.430969859
200812031783,111,111 - Homicide: Handgun,S FRAZIER ST  &  HADFIELD ST,4/15/2008 10:44:00 PM,12,L,53. Highway (Outside Structure),2674401.22714234,231825.651293627
200892003445,111,111 - Homicide: Handgun,4700 BLOCK STATES DR,4/15/2008 2:15:00 AM,92,G,88. Park,2677549.18632211,246732.581054152
200822025665,114,114 - Homicide: Knife,2400 BLOCK N 25TH ST,4/13/2008 5:06:00 PM,22,K,70. Private Residence,2690393.55246079,250603.856697641
200826023010,111,111 - Homicide: Handgun,1500 BLOCK GERMANTOWN AV,4/13/2008 5:18:00 AM,26,H,53. Highway (Outside Structure),2699401.15492534,244070.323870903
200819025421,111,111 - Homicide: Handgun,5900 BLOCK W GIRARD AV,4/13/2008 3:59:00 AM,19,M,53. Highway (Outside Structure),2672399.94393057,241961.204364083
200807014408,123,123 - Homicide: Non-Traffic,8000 BLOCK E ROOSEVELT BLVD,4/13/2008 3:08:00 AM,07,C,53. Highway (Outside Structure),2725022.54246701,275142.42329531
200839024106,111,111 - Homicide: Handgun,2600 BLOCK W SILVER ST,4/12/2008 6:07:00 PM,39,K,53. Highway (Outside Structure),2690178.04721181,252391.445508523
200814029756,111,111 - Homicide: Handgun,5600 BLOCK CHEW AV,4/12/2008 12:44:00 PM,14,F,53. Highway (Outside Structure),2692462.88588561,269801.374933194
200825036614,111,111 - Homicide: Handgun,W ROOSEVELT BLVD  &  OLD YORK RD,4/12/2008 4:50:00 AM,25,P,53. Highway (Outside Structure),2697407.06520934,260525.587763458
200802024005,114,114 - Homicide: Knife,5900 BLOCK HASBROOK AV,4/11/2008 4:11:00 PM,02,O,66. Apartment House/Condominium,2709039.28312088,270772.990890583
200814029255,111,111 - Homicide: Handgun,1100 BLOCK E WOODLAWN ST,4/10/2008 10:41:00 PM,14,F,53. Highway (Outside Structure),2693649.5588678,271341.357931323
200826022211,123,123 - Homicide: Non-Traffic,N FRONT ST  &  W GIRARD AV,4/10/2008 11:33:00 AM,26,A,53. Highway (Outside Structure),2701004.58334014,242362.916562609
200818023937,111,111 - Homicide: Handgun,800 BLOCK S CECIL ST,4/10/2008 2:09:00 AM,18,N,53. Highway (Outside Structure),2672450.98128644,234016.105625862
200825034150,111,111 - Homicide: Handgun,1300 BLOCK W WILLIAM ST,4/6/2008 3:53:00 AM,25,M,53. Highway (Outside Structure),2696302.81707674,252209.198479908
200824027219,123,123 - Homicide: Non-Traffic,2900 BLOCK KENSINGTON AV,4/3/2008 12:20:00 AM,24,C,53. Highway (Outside Structure),2705326.33779958,251247.998139613
