DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200719073957,123,123 - Homicide: Non-Traffic,LANSDOWNE AV  &  N 75TH ST,10/31/2007 9:16:00 PM,19,A,53. Highway (Outside Structure),2666332.63222729,242657.787591377
200735098459,111,111 - Homicide: Handgun,6600 BLOCK N BROAD ST,10/31/2007 10:29:00 AM,35,F,53. Highway (Outside Structure),2698595.39884102,273170.296858608
200712094877,111,111 - Homicide: Handgun,1600 BLOCK S YEWDALL ST,10/30/2007 8:05:00 PM,12,K,53. Highway (Outside Structure),2677419.21087284,230353.178474626
200722065245,111,111 - Homicide: Handgun,1500 BLOCK W DAUPHIN ST,10/30/2007 3:20:00 PM,22,D,53. Highway (Outside Structure),2694644.89419812,249201.40562288
200702074450,123,123 - Homicide: Non-Traffic,7300 BLOCK E ROOSEVELT BLVD,10/30/2007 6:21:00 AM,02,A,53. Highway (Outside Structure),2723023.49251442,270650.099036682
200702074178,114,114 - Homicide: Knife,700 BLOCK GARLAND ST,10/29/2007 1:20:00 AM,02,R,70. Private Residence,2708012.03644416,265344.995861575
200735097564,111,111 - Homicide: Handgun,800 BLOCK LINDLEY AV,10/28/2007 6:38:00 PM,35,S,70. Private Residence,2700089.54097705,264401.997499727
200718070685,117,117 - Homicide: felon by Police Officer,S 38TH ST &  LUDLOW ST,10/28/2007 2:02:00 AM,18,C,53. Highway (Outside Structure),2683791.00932627,237122.502154529
200725116736,111,111 - Homicide: Handgun,4100 BLOCK N 8TH ST,10/28/2007 1:03:00 AM,25,L,53. Highway (Outside Structure),2699340.45363513,258846.184259525
200722064484,111,111 - Homicide: Handgun,N CHADWICK ST  &  W DAUPHIN ST,10/27/2007 12:10:00 PM,22,D,53. Highway (Outside Structure),2694099.13221134,249280.790775743
200725116396,123,123 - Homicide: Non-Traffic,N 3RD ST  &  W ALLEGHENY AV,10/27/2007 1:14:00 AM,25,H,53. Highway (Outside Structure),2700836.14066484,253471.238229862
200702073468,121,121 - Homicide: Auto,6700 BLOCK RISING SUN AV,10/26/2007 3:28:00 AM,02,J,53. Highway (Outside Structure),2712433.86111808,273431.099534434
200714081683,111,111 - Homicide: Handgun,1900 BLOCK DALLAS ST,10/26/2007 2:52:00 AM,14,A,53. Highway (Outside Structure),2696789.26593909,276540.039975988
200706064606,111,111 - Homicide: Handgun,200 BLOCK S 13TH ST,10/25/2007 9:52:00 PM,06,F,45. Restaurants (non-PLCB),2693936.65494433,234726.945699977
200724091845,111,111 - Homicide: Handgun,2800 BLOCK N FRONT ST,10/25/2007 6:54:00 PM,24,P,70. Private Residence,2702350.49625939,251084.14498272
200715115854,111,111 - Homicide: Handgun,1900 BLOCK PRATT ST,10/24/2007 11:09:00 PM,15,H,53. Highway (Outside Structure),2718113.1428151,260270.746968298
200715115818,111,111 - Homicide: Handgun,5200 BLOCK PENNWAY ST,10/24/2007 9:20:00 PM,15,E,53. Highway (Outside Structure),2709155.83662536,264310.09908166
200725115248,123,123 - Homicide: Non-Traffic,4400 BLOCK RISING SUN AV,10/24/2007 2:09:00 AM,25,L,53. Highway (Outside Structure),2702755.87128353,260074.624303518
200724090763,123,123 - Homicide: Non-Traffic,FRANKFORD AV  &  E LEHIGH AV,10/22/2007 2:41:00 PM,24,M,53. Highway (Outside Structure),2704697.44458628,249086.877614714
200718068938,111,111 - Homicide: Handgun,COBBS CREEK PKWY  &  CATHARINE ST,10/21/2007 1:26:00 AM,18,U,53. Highway (Outside Structure),2669569.72664237,235183.267707755
200715113624,111,111 - Homicide: Handgun,2000 BLOCK GRANITE ST,10/19/2007 3:50:00 PM,15,H,53. Highway (Outside Structure),2718534.31498523,259708.568824116
200739065465,118,118 - Homicide: felon by Civilian,4500 BLOCK WAYNE AV,10/18/2007 9:38:00 AM,39,M,57. Junk/Second Hand Dealer,2693716.42221839,261258.66905287
200735094142,111,111 - Homicide: Handgun,300 BLOCK W SOMERVILLE AV,10/17/2007 11:37:00 PM,35,D,53. Highway (Outside Structure),2702524.00526915,265785.17023318
200715112785,114,114 - Homicide: Knife,4400 BLOCK WALN ST,10/17/2007 6:11:00 PM,15,F,70. Private Residence,2715016.42481181,258263.062106204
200735093940,111,111 - Homicide: Handgun,1300 BLOCK LINDLEY AV ,10/17/2007 3:10:00 PM,35,H,66. Apartment House/Condominium,2698044.48574714,264612.942728722
200712090639,111,111 - Homicide: Handgun,1700 BLOCK S 60TH ST,10/15/2007 8:51:00 PM,12,J,53. Highway (Outside Structure),2673934.31814143,229510.891738602
